mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.16442100207010904,0.009168037513708887,0.015717029571533203,0.0013527530236287562,3,1,50,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 50}",-1.1355518858626756,-1.2233771456017146,-1.2371239487631431,-1.1986843267425111,0.04499275843862142,20
0.26956931749979657,0.009386916900958872,0.023362000783284504,0.003216481598294388,3,1,100,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",-1.147008509385352,-1.2148993107959565,-1.2324077245299607,-1.198105181570423,0.03683104278695471,19
0.4593239625295003,0.03153016842384707,0.035257577896118164,0.003695542924739081,3,1,200,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200}",-1.1599894050174975,-1.2087503398338988,-1.2386788742194472,-1.2024728730236145,0.03243005892673046,21
0.14138460159301758,0.009316585450265202,0.028904438018798828,0.015133363289762785,3,2,50,"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 50}",-1.1332655912508542,-1.2215582417076887,-1.2066713943911211,-1.1871650757832213,0.038594217014105967,13
0.2050314744313558,0.006100147990711335,0.020425796508789062,0.00031316604819502954,3,2,100,"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100}",-1.125109296536797,-1.219807084535764,-1.232011426512144,-1.1923092691949018,0.047778054479064046,16
0.44892319043477374,0.00541503436200534,0.039033730824788414,0.0010668432009233305,3,2,200,"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200}",-1.1514256713973166,-1.1983696368439087,-1.2294597781896328,-1.1930850288102859,0.03207569970419379,17
0.10855666796366374,0.004832217258502482,0.01396020253499349,0.0029328025429591177,3,4,50,"{'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 50}",-1.111979677982836,-1.1916552530902917,-1.2238148988190158,-1.1758166099640477,0.04701011321641098,3
0.2100065549214681,0.0047059168190966725,0.02277692159016927,0.003079112276822039,3,4,100,"{'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}",-1.1423751038873406,-1.1950571153191856,-1.2212618256452175,-1.1862313482839146,0.03280446453606405,11
0.35610151290893555,0.03262675322845831,0.03280560175577799,0.00556737547149563,3,4,200,"{'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 200}",-1.1591417190411928,-1.1763745505812808,-1.209669115278123,-1.1817284616335322,0.0209722469832157,7
0.11068193117777507,0.008654578076526117,0.012214342753092447,0.0020355553543086394,5,1,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 50}",-1.143106365914787,-1.276209571846283,-1.211737000478429,-1.2103509794131664,0.05434799381826687,23
0.19841742515563965,0.007051505178541802,0.02240602175394694,0.0026449143522097127,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",-1.1493847619047626,-1.2791730572107904,-1.2264056200069866,-1.2183211463741799,0.05329333563746243,26
0.370879332224528,0.04053507624060354,0.030924399693806965,0.003068483275959782,5,1,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 200}",-1.1608907661198458,-1.2732562751810585,-1.2312342463489419,-1.2217937625499486,0.0463561859044771,27
0.09008129437764485,0.010885733611916935,0.011398871739705404,0.002466209068252338,5,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 50}",-1.1460254010025062,-1.2291306212500952,-1.1903108627446095,-1.1884889616657368,0.03395201418429613,15
0.172209103902181,0.022639522860474683,0.016576210657755535,0.0023937022094108547,5,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}",-1.122979323308271,-1.2369075249466737,-1.2195020089105781,-1.1931296190551743,0.050110118686443564,18
0.39584533373514813,0.026246126889482583,0.05507357915242513,0.0034606955262916628,5,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 200}",-1.1511168327067671,-1.2046312955456997,-1.2067489008896581,-1.1874990097140417,0.025740605612400057,14
0.10083842277526855,0.005563449479671914,0.013295968373616537,0.0030734605850104217,5,4,50,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 50}",-1.111979677982836,-1.1935088350538352,-1.2063746566406817,-1.1706210565591177,0.041797055735791025,2
0.19595487912495932,0.022885289385329875,0.021610260009765625,0.005237852139464128,5,4,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 100}",-1.1423751038873406,-1.1969972629417367,-1.2119927178388028,-1.1837883615559601,0.029916654781109064,9
0.41481471061706543,0.030415089902063562,0.03469697634379069,0.0027479652718482156,5,4,200,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 200}",-1.1591417190411928,-1.1765303465029122,-1.201277194043408,-1.178983086529171,0.017288946635406168,5
0.10118269920349121,0.01968759523041486,0.019181013107299805,0.0066021598884395466,10,1,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",-1.1414210526315791,-1.2880157894736843,-1.2013039849624065,-1.2102469423558901,0.060180210383246786,22
0.24094311396280924,0.01094992943355205,0.019164403279622395,0.001027978088659508,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",-1.1460789473684216,-1.2792556140350877,-1.2152535611756665,-1.2135293741930586,0.054382814391278164,25
0.4174247582753499,0.03362774185119279,0.033432563145955406,0.006241283555593952,10,1,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}",-1.1607105263157897,-1.2657080701754382,-1.2110720701274709,-1.2124968888728995,0.04287690625875187,24
0.11583781242370605,0.008672561237618016,0.012709697087605795,0.001978731498142973,10,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 50}",-1.1460254010025062,-1.2355391945773528,-1.1795788471177944,-1.1870478142325511,0.03692351475109102,12
0.1787386735280355,0.030945170441235934,0.016109307607014973,0.0018594609900004296,10,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",-1.122979323308271,-1.239421374648743,-1.1944923746867169,-1.185631024214577,0.04794844786668874,10
0.3470812638600667,0.02960266367754473,0.03237692515055338,0.006213106979032514,10,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200}",-1.151358894110276,-1.2055266459709884,-1.1870113878446116,-1.1812989759752919,0.022479769756153147,6
0.10078024864196777,0.0023246649295021442,0.011594931284586588,0.00043237257342654733,10,4,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 50}",-1.111979677982836,-1.1935088350538352,-1.204122698675593,-1.1698704039040881,0.04116362177143365,1
0.1638456185658773,0.016194523705856657,0.020387808481852215,0.001345846310381359,10,4,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 100}",-1.1423751038873406,-1.1969972629417367,-1.2086881963650382,-1.1826868543980387,0.02890152709926795,8
